Sum of __index_level_0__,Sum of avg_temp_c,Sum of avg_sea_level_pres_hpa,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,competition,country,city_name,Sum of Draw,Sum of max_temp_c,Sum of Loose,Sum of min_temp_c,neutral,Opponent,Sum of peak_wind_gust_kmh,Sum of Point,Sum of precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of TA,Sum of TF,Team,Sum of sunshine_total_min,Sum of TotalTri,TrancheTemp,TranchWind,Sum of Win,world_cup
56108,10.1,990.6,200,20.7,Dublin,2020 Six Nations Championship,Ireland,Dublin,0,11.8,0,7.5,False,Italy,68,3,0,W,Autumn,false,,Aviva Stadium,03969,17,50,Ireland,,67,0-20,moins de 30,1,False
55842,7.9,998.8,242,24.5,Dublin,2020 Six Nations Championship,Ireland,Dublin,0,10.9,0,7.5,False,Scotland,68.5,3,2.7,W,Winter,false,,Aviva Stadium,03969,12,19,Ireland,,31,0-20,moins de 30,1,False
55849,7.1,1001.2,210,31.7,Dublin,2020 Six Nations Championship,Ireland,Dublin,0,11.8,0,4.1,False,Wales,83,3,33.1,W,Winter,false,,Aviva Stadium,03969,14,24,Ireland,,38,0-20,30-60,1,False
56493,10.9,1018.6,250,12,Dublin,2021 Autumn International,Ireland,Dublin,0,12.5,1,10.1,False,Ireland,37,0,0,L,Autumn,false,,Aviva Stadium,03969,29,20,New Zealand,,49,0-20,moins de 30,0,False
56493,10.9,1018.6,250,12,Dublin,2021 Autumn International,Ireland,Dublin,0,12.5,0,10.1,False,New Zealand,37,3,0,W,Autumn,false,,Aviva Stadium,03969,20,29,Ireland,,49,0-20,moins de 30,1,False
56501,4.2,1027.3,319,19.8,Dublin,2021 Autumn Internationals,Ireland,Dublin,0,8.7,1,1.3,False,Argentina,38.9,0,0,L,Autumn,false,,Aviva Stadium,03969,7,53,Ireland,,60,0-20,moins de 30,0,False
56501,4.2,1027.3,319,19.8,Dublin,2021 Autumn Internationals,Ireland,Dublin,0,8.7,0,1.3,False,Ireland,38.9,3,0,W,Autumn,false,,Aviva Stadium,03969,53,7,Argentina,,60,0-20,moins de 30,1,False
56255,8.4,1033.8,288,13.7,Dublin,2021 Six Nations Championship,Ireland,Dublin,0,13.5,0,3.2,False,England,29.6,3,0.1,W,Spring,false,,Aviva Stadium,03969,18,32,Ireland,,50,0-20,moins de 30,1,False
56221,8.2,1007.7,170,28.8,Dublin,2021 Six Nations Championship,Ireland,Dublin,0,13.1,1,1.1,False,France,74.1,0,2.5,L,Winter,false,,Aviva Stadium,03969,15,13,Ireland,,28,0-20,moins de 30,0,False
56255,8.4,1033.8,288,13.7,Dublin,2021 Six Nations Championship,Ireland,Dublin,0,13.5,1,3.2,False,Ireland,29.6,0,0.1,L,Spring,false,,Aviva Stadium,03969,32,18,England,,50,0-20,moins de 30,0,False
